group,invariant
"['K15a10035', 'K15a7627']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 727), (0, 727)): 1, (4, 12, (0, 2, 2, 5, 7), (0, 2, 2, 5, 5, 5, 7, 7, 7, 8, 8, 73, 73)): 1, (4, 4, (0, 11, 11, 727), (0, 11, 11, 727)): 1, (3, 3, (0, 2, 2, 73, 73), (0, 2, 2, 73, 73)): 1, (5, 5, (0, 499, 499), (0, 499, 499)): 1}"
"['K15a12318', 'K15a48525']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 9, 43), (0, 2, 2, 7, 7, 8, 8, 9, 9, 9, 13, 13, 43, 43, 43)): 1, (5, 60, (0, 2, 3, 16), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 7, 7, 7, 7, 7, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 61, 61, 61)): 1, (2, 2, (0, 883), (0, 883)): 1, (3, 3, (0, 2, 2, 7, 7, 13, 13), (0, 2, 2, 7, 7, 13, 13)): 1, (4, 4, (0, 13, 13, 883), (0, 13, 13, 883)): 1, (5, 5, (0, 3, 3, 3, 3, 101, 101), (0, 3, 3, 3, 3, 101, 101)): 1}"
"['K15n20800', 'K15n18666']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 59, 59), (0, 59, 59)): 1, (2, 2, (0, 307), (0, 307)): 1, (4, 4, (0, 9, 9, 307), (0, 9, 9, 307)): 1, (5, 5, (0, 11, 11, 41, 41), (0, 11, 11, 41, 41)): 1}"
"['K14a900', 'K14a853']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 0, 2, 5), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 8, 8, 8, 8, 25, 25, 25, 59, 59, 59, 59, 59, 157, 157, 157, 157, 157)): 1, (2, 2, (0, 11, 59), (0, 11, 59)): 1, (3, 3, (0, 139, 139), (0, 139, 139)): 1, (4, 4, (0, 11, 17, 17, 59), (0, 11, 17, 17, 59)): 1, (5, 5, (0, 1201, 1201), (0, 1201, 1201)): 1}"
"['K15n8910', 'K15n10828']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 41), (0, 7, 41)): 1, (5, 60, (0, 0, 2, 3, 3), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9)): 1, (5, 20, (0, 0, 4), (0, 0, 0, 0, 0, 4, 4, 4, 4, 5, 5, 5, 7, 41)): 1, (5, 20, (0, 3, 25), (0, 3, 3, 3, 3, 5, 5, 5, 5, 7, 25, 25, 25, 41)): 1, (3, 3, (0, 29, 29), (0, 29, 29)): 1, (4, 4, (0, 5, 5, 7, 41), (0, 5, 5, 7, 41)): 1, (5, 5, (0, 359, 359), (0, 359, 359)): 1}"
"['K15n121832', 'K15n121921']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 169), (0, 169)): 1, (3, 3, (0, 61, 61), (0, 61, 61)): 1, (4, 4, (0, 13, 13, 169), (0, 13, 13, 169)): 1, (5, 5, (0, 11, 11, 31, 31), (0, 11, 11, 31, 31)): 1}"
"['K14n3352', 'K14n4194']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 227), (0, 227)): 1, (4, 4, (0, 19, 19, 227), (0, 19, 19, 227)): 1, (4, 12, (0, 59), (0, 2, 2, 7, 7, 59, 59, 59)): 1, (3, 3, (0, 2, 2, 7, 7), (0, 2, 2, 7, 7)): 1, (5, 5, (0, 1129, 1129), (0, 1129, 1129)): 1}"
"['K15a56269', 'K15a55797']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 199)): 1, (5, 120, (0,), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 11, 11, 11, 11, 11, 11, 16, 16, 29, 29, 29, 29, 32, 32, 32, 32, 89, 89, 89, 89, 199)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 41, 41, 41, 199)): 1, (4, 12, (0, 41), (0, 2, 2, 23, 23, 41, 41, 41)): 1, (4, 24, (0, 0, 2), (0, 0, 0, 0, 3, 4, 4, 4, 5, 5, 5, 199)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 11, 11, 11, 17, 17, 17, 199)): 1, (2, 2, (0, 3, 199), (0, 3, 199)): 1, (3, 3, (0, 2, 2, 23, 23), (0, 2, 2, 23, 23)): 1, (4, 4, (0, 3, 3, 3, 199), (0, 3, 3, 3, 199)): 1, (5, 5, (0, 2, 2, 2, 2, 7, 7, 7, 7), (0, 2, 2, 2, 2, 7, 7, 7, 7)): 1}"
"['K15n28087', 'K15n4279']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 5, 8), (0, 2, 5, 5, 5, 8, 32, 32, 61, 61)): 1, (5, 60, (0, 3, 3, 13), (0, 2, 2, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 8, 9, 9, 9, 9, 9, 11, 11, 11, 11, 11, 13, 13, 13, 13, 16, 16, 16, 16, 27, 27, 27, 27, 761, 761, 761)): 1, (2, 2, (0, 7, 61), (0, 7, 61)): 1, (3, 3, (0, 2, 2, 61, 61), (0, 2, 2, 61, 61)): 1, (4, 4, (0, 7, 17, 17, 61), (0, 7, 17, 17, 61)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1}"
"['K15n35040', 'K15n34918']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 197), (0, 197)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 3, 3, 197), (0, 3, 3, 197)): 1, (5, 5, (0, 199, 199), (0, 199, 199)): 1}"
"['K15n96989', 'K15n88956']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 5, 1559), (0, 5, 5, 5, 79, 1559, 1559)): 1, (5, 60, (0, 3, 5), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9, 11, 11, 11, 11, 11, 23, 23, 23, 23, 23, 25, 25, 25)): 1, (2, 2, (0, 5, 79), (0, 5, 79)): 1, (3, 3, (0, 107, 107), (0, 107, 107)): 1, (4, 4, (0, 5, 13, 13, 79), (0, 5, 13, 13, 79)): 1, (5, 5, (0, 41, 41), (0, 41, 41)): 1}"
"['K15a2662', 'K15a2042']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 9), (0, 2, 2, 8, 8, 9, 9, 9, 139, 139)): 1, (2, 2, (0, 1151), (0, 1151)): 1, (3, 3, (0, 2, 2, 139, 139), (0, 2, 2, 139, 139)): 1, (4, 4, (0, 3, 3, 13, 13, 1151), (0, 3, 3, 13, 13, 1151)): 1, (5, 5, (0, 29, 29, 179, 179), (0, 29, 29, 179, 179)): 1}"
"['K15n17104', 'K15n20312']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 3, 4), (0, 2, 3, 3, 3, 4, 13, 13, 16, 16)): 1, (2, 2, (0, 163), (0, 163)): 1, (4, 4, (0, 3, 3, 163), (0, 3, 3, 163)): 1, (5, 5, (0, 269, 269), (0, 269, 269)): 1, (3, 3, (0, 2, 2, 13, 13), (0, 2, 2, 13, 13)): 1}"
"['K15a57593', 'K15a57529']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 0, 0), (0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 8, 8, 8, 8, 349, 349, 349, 349, 349)): 1, (2, 2, (0, 877), (0, 877)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (4, 4, (0, 11, 11, 877), (0, 11, 11, 877)): 1, (5, 5, (0, 2, 2, 2, 2, 11, 11, 19, 19), (0, 2, 2, 2, 2, 11, 11, 19, 19)): 1}"
"['K15n10199', 'K15n9785']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 0, 2, 9), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 8, 16, 16, 16, 16, 19, 19, 19, 809, 809, 809, 809, 809)): 1, (3, 3, (0, 5, 5, 17, 17), (0, 5, 5, 17, 17)): 1, (2, 2, (0, 11, 47), (0, 11, 47)): 1, (4, 4, (0, 3, 3, 11, 47), (0, 3, 3, 11, 47)): 1, (5, 5, (0, 2, 2, 2, 2, 3, 3, 3, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3)): 1}"
