knot,crossings
8_21,8
16nh_0000365,16
16nh_0001293,16
16nh_0001362,16
16nh_0001658,16
16nh_0001684,16
16nh_0001718,16
16nh_0001864,16
16nh_0002212,16
16nh_0002965,16
16nh_0005574,16
16nh_0007642,16
16nh_0007847,16
16nh_0008190,16
16nh_0008233,16
16nh_0008347,16
16nh_0008455,16
16nh_0008686,16
16nh_0009031,16
16nh_0009675,16
16nh_0011388,16
16nh_0011578,16
16nh_0011642,16
16nh_0012851,16
16nh_0012968,16
16nh_0013020,16
16nh_0013866,16
16nh_0014324,16
16nh_0014773,16
16nh_0016287,16
16nh_0018535,16
16nh_0018694,16
16nh_0019625,16
16nh_0020050,16
16nh_0020135,16
16nh_0021481,16
16nh_0022398,16
16nh_0022399,16
16nh_0022621,16
16nh_0030464,16
16nh_0033124,16
16nh_0033849,16
16nh_0034713,16
16nh_0035318,16
16nh_0037051,16
16nh_0038300,16
16nh_0042402,16
16nh_0044408,16
16nh_0044952,16
16nh_0045456,16
16nh_0045457,16
16nh_0046207,16
16nh_0046896,16
16nh_0048202,16
16nh_0050194,16
16nh_0050195,16
16nh_0051499,16
16nh_0051534,16
16nh_0052166,16
16nh_0052729,16
16nh_0054694,16
16nh_0056872,16
16nh_0059105,16
16nh_0059104,16
16nh_0059470,16
16nh_0062933,16
16nh_0065824,16
16nh_0066106,16
16nh_0069156,16
16nh_0072030,16
16nh_0074103,16
16nh_0077247,16
16nh_0080057,16
16nh_0081304,16
16nh_0081305,16
16nh_0081369,16
16nh_0082258,16
16nh_0085080,16
16nh_0088972,16
16nh_0090462,16
16nh_0091694,16
16nh_0091695,16
16nh_0093415,16
16nh_0096546,16
16nh_0098892,16
16nh_0101620,16
16nh_0101621,16
16nh_0101678,16
16nh_0109361,16
16nh_0110834,16
16nh_0115148,16
16nh_0115954,16
16nh_0120665,16
16nh_0121508,16
16nh_0121579,16
16nh_0123118,16
16nh_0123956,16
16nh_0124284,16
16nh_0128369,16
16nh_0129081,16
16nh_0135504,16
16nh_0135505,16
16nh_0136565,16
16nh_0136566,16
16nh_0137086,16
16nh_0137087,16
16nh_0143676,16
16nh_0146458,16
16nh_0152745,16
16nh_0154616,16
16nh_0160533,16
16nh_0162135,16
16nh_0164018,16
16nh_0167537,16
16nh_0167538,16
16nh_0170054,16
16nh_0171018,16
16nh_0176991,16
16nh_0186264,16
16nh_0186263,16
16nh_0186810,16
16nh_0193199,16
16nh_0198328,16
16nh_0198595,16
16nh_0198774,16
16nh_0199373,16
16nh_0200251,16
16nh_0201359,16
16nh_0204508,16
16nh_0204527,16
16nh_0214885,16
16nh_0228180,16
16nh_0243173,16
16nh_0259334,16
16nh_0262900,16
16nh_0267889,16
16nh_0270487,16
16nh_0271579,16
16nh_0272223,16
16nh_0286090,16
16nh_0289517,16
16nh_0314691,16
16nh_0321161,16
16nh_0323196,16
16nh_0324730,16
16nh_0329167,16
16nh_0333284,16
16nh_0336818,16
16nh_0341157,16
16nh_0343541,16
16nh_0355982,16
16nh_0360089,16
16nh_0360349,16
16nh_0362125,16
16nh_0362708,16
16nh_0366548,16
16nh_0369176,16
16nh_0371939,16
16nh_0371938,16
16nh_0374650,16
16nh_0376523,16
16nh_0376522,16
16nh_0377003,16
16nh_0377004,16
16nh_0378165,16
16nh_0384019,16
16nh_0392100,16
16nh_0394670,16
16nh_0394671,16
16nh_0394980,16
16nh_0400187,16
16nh_0402341,16
16nh_0429713,16
16nh_0451377,16
16nh_0451568,16
16nh_0463154,16
16nh_0464734,16
16nh_0483433,16
16nh_0487947,16
16nh_0489398,16
16nh_0490796,16
16nh_0491392,16
16nh_0493001,16
16nh_0501711,16
16nh_0509414,16
16nh_0512603,16
16nh_0512604,16
16nh_0518038,16
16nh_0524510,16
16nh_0545833,16
16nh_0547690,16
16nh_0547691,16
16nh_0549215,16
16nh_0549216,16
16nh_0555995,16
16nh_0555997,16
16nh_0555996,16
16nh_0557711,16
16nh_0559888,16
16nh_0585530,16
16nh_0586935,16
16nh_0587116,16
16nh_0605956,16
16nh_0608953,16
16nh_0639520,16
16nh_0658359,16
16nh_0673789,16
16nh_0699580,16
16nh_0721311,16
16nh_0721313,16
16nh_0721312,16
16nh_0721314,16
16nh_0764515,16
16nh_0805225,16
16nh_0805226,16
16nh_0847932,16
16nh_0847931,16
16nh_0847936,16
16nh_0847930,16
16nh_0847937,16
16nh_0847933,16
16nh_0847935,16
16nh_0847934,16
16nh_0900507,16
16nh_0900508,16
16nh_0907404,16
16nh_0907403,16
16nh_0915837,16
16nh_0915839,16
16nh_0915838,16
16nh_0915840,16
16nh_0967832,16
16nh_0967833,16
16nh_0977946,16
16nh_0977947,16
16nh_0987982,16
16nh_0987981,16
