knot,crossings
8_5,8
16nh_0000143,16
16nh_0000677,16
16nh_0002285,16
16nh_0002379,16
16nh_0005875,16
16nh_0007400,16
16nh_0007399,16
16nh_0008066,16
16nh_0009834,16
16nh_0010544,16
16nh_0010618,16
16nh_0011371,16
16nh_0011558,16
16nh_0011958,16
16nh_0012862,16
16nh_0013016,16
16nh_0013017,16
16nh_0013275,16
16nh_0013694,16
16nh_0013734,16
16nh_0013801,16
16nh_0014644,16
16nh_0018542,16
16nh_0018540,16
16nh_0021172,16
16nh_0021192,16
16nh_0023555,16
16nh_0025045,16
16nh_0025829,16
16nh_0026041,16
16nh_0030005,16
16nh_0030011,16
16nh_0030109,16
16nh_0032293,16
16nh_0034466,16
16nh_0034484,16
16nh_0037467,16
16nh_0041081,16
16nh_0041085,16
16nh_0041082,16
16nh_0041927,16
16nh_0044444,16
16nh_0047212,16
16nh_0047213,16
16nh_0047342,16
16nh_0047343,16
16nh_0047344,16
16nh_0047345,16
16nh_0050008,16
16nh_0054243,16
16nh_0056396,16
16nh_0057112,16
16nh_0059600,16
16nh_0063024,16
16nh_0068208,16
16nh_0073455,16
16nh_0075009,16
16nh_0077980,16
16nh_0088063,16
16nh_0088447,16
16nh_0089741,16
16nh_0090130,16
16nh_0090363,16
16nh_0092031,16
16nh_0095019,16
16nh_0096687,16
16nh_0101024,16
16nh_0109462,16
16nh_0114940,16
16nh_0116676,16
16nh_0121703,16
16nh_0139540,16
16nh_0148287,16
16nh_0148954,16
16nh_0149004,16
16nh_0149003,16
16nh_0155707,16
16nh_0158260,16
16nh_0159031,16
16nh_0168122,16
16nh_0177712,16
16nh_0177731,16
16nh_0178352,16
16nh_0178355,16
16nh_0178353,16
16nh_0178354,16
16nh_0185486,16
16nh_0186580,16
16nh_0188512,16
16nh_0191451,16
16nh_0192541,16
16nh_0195144,16
16nh_0199126,16
16nh_0199127,16
16nh_0200484,16
16nh_0204028,16
16nh_0204029,16
16nh_0213474,16
16nh_0213475,16
16nh_0215209,16
16nh_0216556,16
16nh_0220196,16
16nh_0231574,16
16nh_0231663,16
16nh_0232316,16
16nh_0239919,16
16nh_0242819,16
16nh_0242820,16
16nh_0242907,16
16nh_0242908,16
16nh_0248919,16
16nh_0250652,16
16nh_0258893,16
16nh_0259640,16
16nh_0261710,16
16nh_0267084,16
16nh_0288521,16
16nh_0307929,16
16nh_0309735,16
16nh_0316529,16
16nh_0320096,16
16nh_0321264,16
16nh_0321566,16
16nh_0326270,16
16nh_0341828,16
16nh_0342379,16
16nh_0349309,16
16nh_0349310,16
16nh_0352119,16
16nh_0355201,16
16nh_0361025,16
16nh_0361026,16
16nh_0361106,16
16nh_0368726,16
16nh_0368727,16
16nh_0369490,16
16nh_0369727,16
16nh_0369795,16
16nh_0369798,16
16nh_0369799,16
16nh_0369794,16
16nh_0369796,16
16nh_0369797,16
16nh_0374514,16
16nh_0385436,16
16nh_0385435,16
16nh_0388418,16
16nh_0405760,16
16nh_0422197,16
16nh_0434350,16
16nh_0462665,16
16nh_0462666,16
16nh_0465862,16
16nh_0466975,16
16nh_0487359,16
16nh_0497460,16
16nh_0500034,16
16nh_0500812,16
16nh_0511575,16
16nh_0517060,16
16nh_0518195,16
16nh_0518194,16
16nh_0567991,16
16nh_0584853,16
16nh_0602498,16
16nh_0631915,16
16nh_0631917,16
16nh_0631918,16
16nh_0631916,16
16nh_0720620,16
16nh_0720621,16
16nh_0730909,16
16nh_0730910,16
16nh_0730908,16
16nh_0732425,16
16nh_0732428,16
16nh_0732427,16
16nh_0732430,16
16nh_0732431,16
16nh_0732432,16
16nh_0732429,16
16nh_0732426,16
16nh_0742888,16
16nh_0742887,16
16nh_0912325,16
16nh_0912327,16
16nh_0912328,16
16nh_0912326,16
