knot,crossings
7_5,7
16nh_0000479,16
16nh_0000605,16
16nh_0002019,16
16nh_0004466,16
16nh_0005319,16
16nh_0005375,16
16nh_0007402,16
16nh_0008224,16
16nh_0008223,16
16nh_0008324,16
16nh_0009161,16
16nh_0009162,16
16nh_0009459,16
16nh_0010181,16
16nh_0010507,16
16nh_0012149,16
16nh_0012455,16
16nh_0015206,16
16nh_0015205,16
16nh_0018703,16
16nh_0018704,16
16nh_0019048,16
16nh_0022435,16
16nh_0022436,16
16nh_0023219,16
16nh_0023492,16
16nh_0024199,16
16nh_0028336,16
16nh_0031367,16
16nh_0036038,16
16nh_0036216,16
16nh_0036264,16
16nh_0037056,16
16nh_0039616,16
16nh_0040916,16
16nh_0041183,16
16nh_0041371,16
16nh_0041675,16
16nh_0042147,16
16nh_0042621,16
16nh_0049470,16
16nh_0050120,16
16nh_0053388,16
16nh_0055386,16
16nh_0055511,16
16nh_0058875,16
16nh_0063138,16
16nh_0067421,16
16nh_0081485,16
16nh_0084084,16
16nh_0084083,16
16nh_0084081,16
16nh_0084085,16
16nh_0084082,16
16nh_0084080,16
16nh_0085677,16
16nh_0088980,16
16nh_0092565,16
16nh_0094029,16
16nh_0095318,16
16nh_0102506,16
16nh_0102507,16
16nh_0104785,16
16nh_0107039,16
16nh_0107098,16
16nh_0108900,16
16nh_0111381,16
16nh_0112249,16
16nh_0113271,16
16nh_0118178,16
16nh_0125057,16
16nh_0125056,16
16nh_0127856,16
16nh_0131093,16
16nh_0135739,16
16nh_0135740,16
16nh_0137132,16
16nh_0139699,16
16nh_0139700,16
16nh_0147188,16
16nh_0150234,16
16nh_0150233,16
16nh_0152932,16
16nh_0154159,16
16nh_0158513,16
16nh_0160333,16
16nh_0163250,16
16nh_0165992,16
16nh_0166275,16
16nh_0166276,16
16nh_0168292,16
16nh_0171399,16
16nh_0171468,16
16nh_0175325,16
16nh_0181329,16
16nh_0189899,16
16nh_0190496,16
16nh_0190497,16
16nh_0193362,16
16nh_0193361,16
16nh_0199514,16
16nh_0203855,16
16nh_0210732,16
16nh_0210731,16
16nh_0210744,16
16nh_0213010,16
16nh_0221094,16
16nh_0222774,16
16nh_0236638,16
16nh_0251192,16
16nh_0251193,16
16nh_0251904,16
16nh_0257759,16
16nh_0259794,16
16nh_0267886,16
16nh_0294755,16
16nh_0294754,16
16nh_0333055,16
16nh_0333056,16
16nh_0337437,16
16nh_0364706,16
16nh_0379754,16
16nh_0392306,16
16nh_0395090,16
16nh_0395479,16
16nh_0395480,16
16nh_0436626,16
16nh_0476993,16
16nh_0478073,16
16nh_0478074,16
16nh_0478076,16
16nh_0478075,16
16nh_0494369,16
16nh_0511803,16
16nh_0511822,16
16nh_0511821,16
16nh_0511823,16
16nh_0511824,16
16nh_0532727,16
16nh_0556225,16
16nh_0556226,16
16nh_0579623,16
16nh_0579624,16
16nh_0637495,16
16nh_0712371,16
16nh_0712372,16
17nh_0000989,17
17nh_0001617,17
17nh_0002526,17
17nh_0002712,17
17nh_0002751,17
17nh_0003853,17
17nh_0003852,17
17nh_0004628,17
17nh_0004970,17
17nh_0006304,17
17nh_0007762,17
17nh_0007905,17
17nh_0008983,17
17nh_0009145,17
17nh_0010708,17
17nh_0013869,17
17nh_0013868,17
17nh_0014342,17
17nh_0014691,17
17nh_0017631,17
17nh_0019409,17
17nh_0019410,17
17nh_0019584,17
17nh_0019727,17
17nh_0019728,17
17nh_0019822,17
17nh_0020317,17
17nh_0021394,17
17nh_0022220,17
17nh_0023226,17
17nh_0023430,17
17nh_0023941,17
17nh_0023942,17
17nh_0023944,17
17nh_0023948,17
17nh_0023943,17
17nh_0023949,17
17nh_0024605,17
17nh_0025865,17
17nh_0027714,17
17nh_0030629,17
17nh_0032472,17
17nh_0034049,17
17nh_0034567,17
17nh_0035998,17
17nh_0035997,17
17nh_0039733,17
17nh_0040856,17
17nh_0040993,17
17nh_0041215,17
17nh_0043514,17
