name,crossings
8_20,8
16nh_0000011,16
16nh_0000364,16
16nh_0000792,16
16nh_0000899,16
16nh_0000921,16
16nh_0000920,16
16nh_0001192,16
16nh_0001234,16
16nh_0001429,16
16nh_0001430,16
16nh_0002429,16
16nh_0002637,16
16nh_0002750,16
16nh_0003697,16
16nh_0003698,16
16nh_0003957,16
16nh_0003958,16
16nh_0004162,16
16nh_0004163,16
16nh_0004337,16
16nh_0004581,16
16nh_0004671,16
16nh_0004670,16
16nh_0005155,16
16nh_0005156,16
16nh_0005157,16
16nh_0005264,16
16nh_0005543,16
16nh_0005973,16
16nh_0006412,16
16nh_0006544,16
16nh_0007036,16
16nh_0007204,16
16nh_0007644,16
16nh_0007858,16
16nh_0007857,16
16nh_0008153,16
16nh_0008154,16
16nh_0008155,16
16nh_0008156,16
16nh_0009647,16
16nh_0009648,16
16nh_0009725,16
16nh_0011316,16
16nh_0011378,16
16nh_0011379,16
16nh_0011380,16
16nh_0011514,16
16nh_0011968,16
16nh_0011969,16
16nh_0012179,16
16nh_0013651,16
16nh_0015132,16
16nh_0015306,16
16nh_0015645,16
16nh_0015646,16
16nh_0015647,16
16nh_0015729,16
16nh_0015730,16
16nh_0017759,16
16nh_0018550,16
16nh_0018549,16
16nh_0018828,16
16nh_0018866,16
16nh_0019350,16
16nh_0019351,16
16nh_0019803,16
16nh_0021254,16
16nh_0021255,16
16nh_0021488,16
16nh_0021489,16
16nh_0022314,16
16nh_0022315,16
16nh_0022457,16
16nh_0023384,16
16nh_0023404,16
16nh_0023430,16
16nh_0023543,16
16nh_0023603,16
16nh_0023604,16
16nh_0023656,16
16nh_0024090,16
16nh_0024091,16
16nh_0024851,16
16nh_0026052,16
16nh_0026304,16
16nh_0026419,16
16nh_0027117,16
16nh_0028262,16
16nh_0028285,16
16nh_0028416,16
16nh_0028998,16
16nh_0031115,16
16nh_0031164,16
16nh_0032217,16
16nh_0032220,16
16nh_0033801,16
16nh_0034111,16
16nh_0034195,16
16nh_0034196,16
16nh_0034524,16
16nh_0034523,16
16nh_0034801,16
16nh_0034800,16
16nh_0035471,16
16nh_0035472,16
16nh_0036254,16
16nh_0037226,16
16nh_0038186,16
16nh_0038956,16
16nh_0038957,16
16nh_0039146,16
16nh_0040039,16
16nh_0040973,16
16nh_0041046,16
16nh_0042442,16
16nh_0042461,16
16nh_0042578,16
16nh_0042950,16
16nh_0043313,16
16nh_0044027,16
16nh_0044026,16
16nh_0045101,16
16nh_0045233,16
16nh_0045235,16
16nh_0045234,16
16nh_0046058,16
16nh_0046318,16
16nh_0046319,16
16nh_0046459,16
16nh_0046468,16
16nh_0049286,16
16nh_0049287,16
16nh_0049636,16
16nh_0049637,16
16nh_0051802,16
16nh_0051803,16
16nh_0051801,16
16nh_0051830,16
16nh_0054892,16
16nh_0056965,16
16nh_0059284,16
16nh_0059472,16
16nh_0061452,16
16nh_0062051,16
16nh_0062052,16
16nh_0062294,16
16nh_0063010,16
16nh_0063843,16
16nh_0064617,16
16nh_0064618,16
16nh_0066011,16
16nh_0068315,16
16nh_0069653,16
16nh_0070050,16
16nh_0070343,16
16nh_0070813,16
16nh_0070814,16
16nh_0073870,16
16nh_0074802,16
16nh_0075091,16
16nh_0075164,16
16nh_0075165,16
16nh_0077238,16
16nh_0077649,16
16nh_0080907,16
16nh_0081160,16
16nh_0081367,16
16nh_0082026,16
16nh_0082027,16
16nh_0082028,16
16nh_0087352,16
16nh_0087353,16
16nh_0092631,16
16nh_0093076,16
16nh_0093077,16
16nh_0093725,16
16nh_0093726,16
16nh_0094306,16
16nh_0094332,16
16nh_0094333,16
16nh_0094595,16
16nh_0095024,16
16nh_0096771,16
16nh_0100151,16
16nh_0100152,16
16nh_0100153,16
16nh_0100515,16
16nh_0101004,16
16nh_0102833,16
16nh_0102834,16
16nh_0103153,16
16nh_0103303,16
16nh_0103514,16
16nh_0105192,16
16nh_0105776,16
16nh_0106109,16
16nh_0106259,16
16nh_0107353,16
16nh_0107618,16
16nh_0107792,16
16nh_0112723,16
16nh_0113827,16
16nh_0114535,16
16nh_0114536,16
16nh_0114537,16
16nh_0115387,16
16nh_0119391,16
16nh_0123309,16
16nh_0123792,16
16nh_0124425,16
16nh_0124931,16
16nh_0124999,16
16nh_0125000,16
16nh_0126172,16
16nh_0126579,16
16nh_0127065,16
16nh_0128285,16
16nh_0128286,16
16nh_0128395,16
16nh_0129306,16
16nh_0131768,16
16nh_0134616,16
16nh_0135761,16
16nh_0135879,16
16nh_0136379,16
16nh_0136380,16
16nh_0136381,16
16nh_0138281,16
16nh_0138282,16
16nh_0139710,16
16nh_0140701,16
16nh_0141641,16
16nh_0143449,16
16nh_0144375,16
16nh_0146256,16
16nh_0148826,16
16nh_0149705,16
16nh_0149707,16
16nh_0149706,16
16nh_0153842,16
16nh_0154861,16
16nh_0160537,16
16nh_0161190,16
16nh_0161191,16
16nh_0163332,16
16nh_0164575,16
16nh_0165458,16
16nh_0166503,16
16nh_0169135,16
16nh_0169969,16
16nh_0169970,16
16nh_0171551,16
16nh_0171550,16
16nh_0172237,16
16nh_0172238,16
16nh_0172239,16
16nh_0172240,16
16nh_0172408,16
16nh_0172916,16
16nh_0172921,16
16nh_0172922,16
16nh_0173843,16
16nh_0174069,16
16nh_0174068,16
16nh_0178193,16
16nh_0178194,16
16nh_0180962,16
16nh_0180964,16
16nh_0180963,16
16nh_0182852,16
16nh_0186820,16
16nh_0195281,16
16nh_0195279,16
16nh_0195280,16
16nh_0196823,16
16nh_0196822,16
16nh_0197424,16
16nh_0198384,16
16nh_0203630,16
16nh_0206707,16
16nh_0206850,16
16nh_0212510,16
16nh_0213406,16
16nh_0213407,16
16nh_0220535,16
16nh_0224075,16
16nh_0225795,16
16nh_0225796,16
16nh_0226260,16
16nh_0227319,16
16nh_0228031,16
16nh_0228039,16
16nh_0228040,16
16nh_0230458,16
16nh_0230456,16
16nh_0230457,16
16nh_0234056,16
16nh_0234057,16
16nh_0235027,16
16nh_0235026,16
16nh_0239631,16
16nh_0239633,16
16nh_0239632,16
16nh_0239794,16
16nh_0245037,16
16nh_0245667,16
16nh_0246008,16
16nh_0251698,16
16nh_0253562,16
16nh_0254230,16
16nh_0257338,16
16nh_0260071,16
16nh_0260070,16
16nh_0260664,16
16nh_0260665,16
16nh_0260666,16
16nh_0264568,16
16nh_0264569,16
16nh_0264874,16
16nh_0266394,16
16nh_0266758,16
16nh_0267397,16
16nh_0276043,16
16nh_0276042,16
16nh_0278688,16
16nh_0278689,16
16nh_0278690,16
16nh_0279074,16
16nh_0280177,16
16nh_0282635,16
16nh_0283574,16
16nh_0284488,16
16nh_0297872,16
16nh_0297873,16
16nh_0297871,16
16nh_0297874,16
16nh_0304105,16
16nh_0304407,16
16nh_0304650,16
16nh_0304651,16
16nh_0307230,16
16nh_0312023,16
16nh_0320719,16
16nh_0320720,16
16nh_0321515,16
16nh_0321516,16
16nh_0321517,16
16nh_0321518,16
16nh_0325914,16
16nh_0325915,16
16nh_0328954,16
16nh_0343054,16
16nh_0343055,16
16nh_0343208,16
16nh_0343209,16
16nh_0344692,16
16nh_0344693,16
16nh_0346421,16
16nh_0347590,16
16nh_0349214,16
16nh_0357022,16
16nh_0357023,16
16nh_0359436,16
16nh_0364382,16
16nh_0367730,16
16nh_0367731,16
16nh_0371528,16
16nh_0372494,16
16nh_0376596,16
16nh_0376597,16
16nh_0377171,16
16nh_0377172,16
16nh_0378461,16
16nh_0378462,16
16nh_0381226,16
16nh_0383752,16
16nh_0383753,16
16nh_0385531,16
16nh_0387049,16
16nh_0393866,16
16nh_0397555,16
16nh_0397554,16
16nh_0399886,16
16nh_0399887,16
16nh_0400055,16
16nh_0404115,16
