knot,symmetry_group,verified,amphichiral
K13n1805,0,True,False
K7a1,D4,True,False
K15n59212,Z/2,True,False
K15n146841,0,True,False
K15n117685,0,True,False
K15n127434,0,True,False
K15n40199,0,True,False
K15n137188,0,True,False
K15n19969,0,True,False
K15n97252,0,True,False
K8a4,Z/2 + Z/2,True,False
K13n1807,0,True,False
K8a7,Z/2 + Z/2,True,False
K15n59222,0,True,False
K15n146843,0,True,False
K15n29,0,True,False
K15n40212,Z/2,True,False
K9a1,Z/2,True,False
K13n1809,0,True,False
K15n156745,0,True,False
K15n137189,0,True,False
K9a3,Z/2 + Z/2,True,False
K13n1810,0,True,False
K9a7,Z/2,True,False
K15n59227,0,True,False
K15n137193,0,True,False
K13n1813,0,True,False
K13n1814,Z/2,True,False
K13n1817,0,True,False
K13n1819,0,True,False
K13n1820,0,True,False
K13n1823,0,True,False
K13n1827,0,True,False
K13n1828,0,True,False
K9a11,0,True,False
K9a12,Z/2 + Z/2,True,False
K9a17,Z/2 + Z/2,True,False
K9a18,Z/2 + Z/2,True,False
K9a28,Z/2,True,False
K9a29,D3,True,False
K9n1,Z/2 + Z/2,True,False
K10a1,Z/2 + Z/2,True,False
K10a10,Z/2,True,False
K10a19,Z/2 + Z/2,True,False
K15n40218,0,True,False
K15n40226,Z/2,True,False
K15n40233,0,True,False
K15n40237,0,True,False
K13n1829,0,True,False
K13n1831,0,True,False
K13n1832,0,True,False
K13n1833,Z/2,True,False
K14n6167,0,True,False
K13n1835,0,True,False
K14n6170,0,True,False
K13n1836,Z/2 + Z/2,True,False
K14n6173,Z/2,True,False
K10a20,Z/2 + Z/2,True,False
K10a23,Z/2 + Z/2,True,False
K15n78002,0,True,False
K15n78016,0,True,False
K15n78018,0,True,False
K15n78019,0,True,False
K15n78020,0,True,False
K15n78021,0,True,False
K15n78024,0,True,False
K15n78026,0,True,False
K15n137194,0,True,False
K15n137198,0,True,False
K15n156746,0,True,False
K15n156754,0,True,False
K15n137201,0,True,False
K15n146848,Z/2,True,False
K15n137203,0,True,False
K15n137208,0,True,False
K10a24,Z/2,True,False
K10a27,D6,True,False
K10a31,Z/2 + Z/2,True,False
K15n117686,0,True,False
K15a74268,0,True,False
K15n117689,0,True,False
K15n117692,0,True,False
K15n117695,0,True,False
K15n40238,0,True,False
K15n40239,0,True,False
K10a39,0,True,False
K10a44,Z/2 + Z/2,True,False
K15n31,0,True,False
K15n78029,0,True,False
K14n6176,0,True,False
K15n78032,0,True,False
K15n78033,0,True,False
K13n1839,0,True,False
K13n1840,0,True,False
K13n1841,Z/2,True,False
K13n1842,0,True,False
K15n40243,0,True,False
K15n40247,0,True,False
K10a54,Z/2 + Z/2,True,False
K15n68797,0,True,False
K15n68801,0,True,False
K15n68802,0,True,False
K14n6178,0,True,False
K10a55,Z/2 + Z/2,True,False
K10a64,Z/2 + Z/2,True,False
K10a66,0,True,False
K10a67,Z/2 + Z/2,True,False
K10a69,Z/2 + Z/2,True,False
K10a77,Z/2,True,False
K10a79,Z/2,True,False
K14n24705,0,True,False
K10a84,0,True,False
K10a85,0,True,False
K15n78034,0,True,False
K15n78035,0,True,False
K15n156755,0,True,False
K15n68808,0,True,False
K15n68809,0,True,False
K15n68810,0,True,False
K15n68817,0,True,False
K15n68820,0,True,False
K15n68824,0,True,False
K15n68828,0,True,False
K10a89,Z/2 + Z/2,True,False
K10a92,0,True,False
K10a97,0,True,False
K13n1843,0,True,False
K10a106,0,True,False
K13n1844,0,True,False
K13n1848,0,True,False
K10a111,Z/2 + Z/2,True,False
K13n1849,0,True,False
K10a112,Z/2 + Z/2,True,False
K10a118,Z/2,True,False
K13n1858,0,True,False
K10n2,Z/2 + Z/2,True,False
K13n1863,0,True,False
K10n5,Z/2,True,False
K13n1864,Z/2,True,False
K10n10,0,True,False
K10n18,Z/2 + Z/2,True,False
K13n1865,0,True,False
